artist,name,category,position,score,from,to,us,uk,de,fr,ca,au
"112","Dance With Me","song","1741","5289.577","Sep 2001","May 2002","39","","","","","2",""
"112","Hot & Wet","album","","3921.107","Dec 2003","Mar 2004","22","","","","","",""
"112","It's Over Now","song","1212","6802.960","Dec 2000","Oct 2001","6","22","","99","","",""
"112","Part III","album","648","25353.664","Mar 2001","May 2002","2","78","50","108","18","39",""
"112","Peaches 'n' Cream","song","365","13447.139","Apr 2001","Aug 2002","4","32","","","","24",""
"112","Pleasure & Pain","album","","7704.125","Apr 2005","Aug 2005","4","","","118","","",""
"112","Q Mike Slim Daron","album",""," 146.804","Nov 2017","Nov 2017","106","","","","","",""
"112 & Foxy Brown","U Already Know","song","","4553.529","Mar 2005","Jul 2005","32","","","","","",""
"112 & Ludacris","Hot & Wet","song","","1626.513","Oct 2003","Dec 2003","70","","","","","",""
"112 & Super Cat","Na Na Na Na","song","","1075.394","Aug 2003","Sep 2003","75","","","","","",""
"187 Strassenbande & Bonez MC, Raf Camora, Gzuz, Maxwell","High Life","song",""," 167.535","Jul 2017","Aug 2017","","","30","","","",""
"187 Strassenbande & LX, Maxwell","10 Dinger","song","","  48.054","Jul 2017","Aug 2017","","","84","","","",""
"187 Strassenbande & LX, SA4, Maxwell","30er Zone","song","","  81.419","Jul 2017","Aug 2017","","","59","","","",""
"187 Strassenbande & LX, SA4, Maxwell","Intro [Sampler 4]","song","","  50.135","Jul 2017","Aug 2017","","","77","","","",""
"187 Strassenbande & Maxwell","Meine Message","song","","  53.051","Jul 2017","Aug 2017","","","75","","","",""
"187 Strassenbande & Maxwell, Gzuz, Bonez","Alles nach Plan","song",""," 419.125","May 2021","Jun 2021","","","5","","","",""
"187 Strassenbande, Bonez MC, Maxwell, LX, Sa4","Vielen Dank","song",""," 313.695","May 2021","Jun 2021","","","5","","","",""
"2 Chainz","B.O.A.T.S. II: Me Time","album","","3366.183","Sep 2013","Feb 2014","3","87","","","11","",""
"2 Chainz","Based On A T.R.U. Story","album","","8192.514","Sep 2012","Sep 2013","1","","","180","7","",""
"2 Chainz","Birthday Song","song","","1616.858","Aug 2012","Jan 2013","47","","","","","",""
"2 Chainz","ColleGrove","album","","2863.856","Mar 2016","Jul 2016","4","","","","20","",""
"2 Chainz","Feds Watching","song",""," 930.676","Jul 2013","Oct 2013","66","","","","","",""
"2 Chainz","Gotta Lotta","song","","  71.982","Mar 2016","Apr 2016","100","","","","","",""
"2 Chainz","I Do It","song","","  61.149","Sep 2013","Oct 2013","94","","","","","",""
"2 Chainz","I'm Different","song","","1910.674","Dec 2012","Apr 2013","27","","","","","",""
"2 Chainz","It's A Vibe","song","","2297.413","Jul 2017","Nov 2017","44","","","","81","",""
"2 Chainz","No Lie","song","","2759.855","May 2012","Nov 2012","24","","","","","",""
"2 Chainz","Pretty Girls Like Trap Music","album","1593","11977.825","Jun 2017","Jul 2018","2","88","","","7","",""
"2 Chainz","Rap Or Go To The League","album","","3010.966","Mar 2019","May 2019","4","74","","117","10","35",""
"2 Chainz","So Help Me God!","album",""," 929.941","Nov 2020","Dec 2020","15","","","","77","",""
"2 Chainz","The Play Don't Care Who Makes It (EP)","album",""," 250.048","Feb 2018","Mar 2018","58","","","","","",""
"2 Chainz","Watch Out","song",""," 900.241","Jan 2016","Apr 2016","64","","","","","",""
"2 Chainz","Yuck!","song","","  66.431","Sep 2012","Sep 2012","80","","","","","",""
"2 Chainz & Ariana Grande","Rule The World","song",""," 203.748","Mar 2019","May 2019","94","","","","93","",""
"2 Chainz & Kendrick Lamar","Momma I Hit A Lick","song","","  93.159","Mar 2019","Mar 2019","100","","","","","",""
"2 Chainz & Travi$ Scott","4 AM","song","","1200.035","Jun 2017","Sep 2017","55","","","","50","",""
"2 Chainz & Travi$ Scott","Whip","song",""," 123.009","Mar 2019","Mar 2019","75","","","","99","",""
"2 Chainz & Wiz Khalifa","We Own It (Fast & Furious 6)","song","","2632.488","May 2013","Oct 2015","16","6","5","9","14","6",""
"2 Chainz, Drake & Quavo","Bigger > You","song",""," 280.343","Jun 2018","Jul 2018","53","","","","43","",""
"2 Chainz, Gucci Mane & Quavo","Good Drank","song","","1345.554","Feb 2017","Jul 2017","70","","","","","",""
"2 Chainz, Sleepy Rose, Worl, Skooly & Hott LockedN '","No Face No Case","album","","  91.129","Feb 2020","Feb 2020","182","","","","","",""
"2 Chainz, YG & Offset","Proud","song",""," 173.488","Apr 2018","Apr 2018","96","","","","","",""
"21 Savage","1.5","song",""," 112.109","Jan 2019","Jan 2019","86","","","","96","",""
"21 Savage","A Lot","song","1779","5232.249","Dec 2018","Jun 2019","12","29","","","21","",""
"21 Savage","All My Friends","song",""," 236.055","Jan 2019","Jan 2019","67","","","","73","",""
"21 Savage","ASMR","song",""," 104.174","Jan 2019","Jan 2019","95","","","","94","",""
"21 Savage","Bank Account","song","1336","6389.574","Jul 2017","Feb 2018","12","41","","","16","",""
"21 Savage","Break Da Law","song",""," 129.658","Jan 2019","Jan 2019","70","","","","82","",""
"21 Savage","Can't Leave Without It","song",""," 501.642","Jan 2019","Feb 2019","58","","","","70","",""
"21 Savage","Famous","song","","  79.293","Jul 2017","Aug 2017","94","","","","77","",""
"21 Savage","Gun Smoke","song","","  99.031","Jan 2019","Jan 2019","93","","","","","",""
"21 Savage","I Am > I Was","album","737","23095.096","Dec 2018","Oct 2020","1","33","87","72","3","30",""
"21 Savage","Immortal","song",""," 486.286","Nov 2019","Nov 2019","55","","","","58","",""
"21 Savage","Issa Album","album","1331","14042.708","Jul 2017","Jul 2018","2","42","","","8","42",""
"21 Savage","Monster","song",""," 376.991","Jan 2019","Feb 2019","73","","","","56","",""
"21 Savage","Out For The Night","song",""," 103.503","Jan 2019","Jan 2019","88","","","","","",""
"21 Savage","Red Opps","song",""," 467.720","Jan 2017","Feb 2017","74","","","","","",""
"21 Savage & Metro Boomin","Brand New Draco","song",""," 162.830","Oct 2020","Oct 2020","57","","","","57","",""
"21 Savage & Metro Boomin","Glock In My Lap","song",""," 535.361","Oct 2020","Nov 2020","19","","","160","28","",""
"21 Savage & Metro Boomin","Many Men","song",""," 324.808","Oct 2020","Oct 2020","33","","","","34","",""
